"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01 00:00:00.000,vk,cpc,prof-python,1,2028,1,0,0
2023-06-01 00:04:00.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 00:07:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 00:09:00.000,vk,cpc,prof-python,1,,1,1,50397
2023-06-01 00:10:00.000,vk,cpc,prof-frontend,1,,1,0,0
2023-06-01 00:10:21.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 00:13:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 00:13:36.964,zen,social,prof-backend,1,,0,0,
2023-06-01 00:20:29.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 00:20:40.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 00:26:09.535,twitter,social,promo,1,,0,0,
2023-06-01 00:27:01.947,vk,cpm,prof-data-analytics,1,,0,0,
2023-06-01 00:29:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 00:29:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 00:33:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 00:37:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 00:44:27.943,vk,cpc,prof-python,1,,0,0,
2023-06-01 00:50:30.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 00:53:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 00:54:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 00:54:47.387,zen,social,hexlet-blog,1,,0,0,
2023-06-01 00:56:21.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 00:58:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 01:06:00.000,vk,cpm,prof-data-analytics,1,,1,0,0
2023-06-01 01:07:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 01:09:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 01:09:00.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 01:12:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 01:12:19.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 01:15:14.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 01:17:04.000,vk,cpc,freemium-frontend,1,,1,1,3900
2023-06-01 01:24:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 01:25:00.000,vk,cpc,freemium-java,2,,2,0,0
2023-06-01 01:25:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 01:26:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 01:27:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 01:29:00.000,vk,cpc,prof-python,1,,1,1,51200
2023-06-01 01:32:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 01:34:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 01:34:42.000,vk,cpm,prof-data-analytics,1,,1,0,0
2023-06-01 01:38:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 01:38:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 01:40:00.000,vk,cpm,prof-data-analytics,1,,1,0,0
2023-06-01 01:42:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 01:45:00.000,vk,cpc,prof-java,2,,2,0,0
2023-06-01 01:50:37.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 01:52:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 01:53:51.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 01:58:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 01:59:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 01:59:08.543,telegram,cpp,base-python,1,,0,0,
2023-06-01 02:00:08.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:01:04.000,vk,cpc,freemium-python,1,,1,1,1560
2023-06-01 02:03:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:03:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 02:04:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:05:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:09:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 02:11:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 02:14:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:16:59.321,vk-senler,cpc,freemium,1,,0,0,
2023-06-01 02:17:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 02:17:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 02:17:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 02:19:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 02:24:35.000,vk,cpc,prof-frontend,1,,1,0,0
2023-06-01 02:26:01.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 02:27:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:28:30.567,telegram,cpp,base-java,1,,0,0,
2023-06-01 02:29:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:29:05.857,zen,social,prof-backend,1,,0,0,
2023-06-01 02:29:41.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:30:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 02:30:15.268,zen,social,prof-frontend,1,,0,0,
2023-06-01 02:32:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 02:33:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 02:37:00.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 02:39:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 02:39:59.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 02:44:00.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 02:45:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:48:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 02:49:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:49:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 02:49:00.000,vk,cpc,prof-python,1,,1,1,42823
2023-06-01 02:51:02.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 02:53:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 02:54:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 02:55:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 02:56:00.000,vk,cpc,freemium-frontend,1,,1,1,83147
2023-06-01 03:01:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 03:02:00.000,vk,cpc,prof-java,2,,2,0,0
2023-06-01 03:04:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 03:04:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:07:00.000,vk,cpc,prof-frontend,1,,1,0,0
2023-06-01 03:08:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 03:10:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 03:12:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 03:12:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 03:14:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 03:15:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:15:46.590,vk,cpc,freemium-frontend,1,,0,0,
2023-06-01 03:15:53.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 03:20:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 03:21:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 03:21:30.911,zen,social,hexlet-blog,1,,0,0,
2023-06-01 03:23:53.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 03:24:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 03:25:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 03:29:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:31:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:31:45.734,vk,cpc,prof-java,1,,0,0,
2023-06-01 03:36:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 03:41:00.000,vk,cpc,prof-java,1,,1,1,178800
2023-06-01 03:41:49.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:42:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 03:47:48.264,zen,social,prof-backend,1,,0,0,
2023-06-01 03:49:00.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 03:49:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:52:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 03:55:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 03:57:13.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 03:58:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 04:01:58.935,admitad,cpa,admitad,1,,0,0,
2023-06-01 04:03:03.259,vk,cpc,prof-java,1,,0,0,
2023-06-01 04:05:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 04:06:06.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 04:07:34.962,twitter,social,hexlet-blog,1,,0,0,
2023-06-01 04:08:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 04:10:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 04:11:25.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 04:15:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 04:16:00.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 04:16:17.596,admitad,cpa,admitad,1,,0,0,
2023-06-01 04:23:51.000,vk,cpc,freemium-python,1,,1,0,0
2023-06-01 04:24:43.393,zen,social,hexlet-blog,1,,0,0,
2023-06-01 04:26:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 04:26:00.000,vk,cpc,prof-data-analytics,1,,1,0,0
2023-06-01 04:27:00.000,vk,cpc,freemium-java,1,,1,0,0
2023-06-01 04:33:39.000,vk,cpc,base-python,1,,1,0,0
2023-06-01 04:35:00.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 04:39:05.000,vk,cpc,prof-frontend,1,,1,0,0
2023-06-01 04:41:00.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 04:42:37.000,vk,cpc,prof-java,1,,1,0,0
2023-06-01 04:43:00.000,vk,cpm,prof-data-analytics,1,,1,0,0
2023-06-01 04:45:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 04:50:00.000,vk,cpc,freemium-java,2,,2,0,0
2023-06-01 04:50:37.000,vk,cpc,base-python,1,,1,1,9072
2023-06-01 04:52:00.000,vk,cpc,freemium-python,2,,2,0,0
2023-06-01 04:52:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 04:53:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 04:55:00.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 04:56:00.000,vk,cpc,prof-frontend,1,,1,0,0
2023-06-01 04:56:09.000,vk,cpc,prof-python,1,,1,0,0
2023-06-01 04:57:52.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,1,,1,1,189210
2023-06-01 04:58:44.081,vk,cpc,prof-java,1,,0,0,
2023-06-01 05:01:00.000,vk,cpc,freemium-frontend,1,,1,0,0
2023-06-01 05:02:00.000,vk,cpc,prof-python,1,,1,1,126000
2023-06-01 05:02:11.944,telegram,social,course_completed,1,,0,0,
